genre_title,title,author,rating,views,status,categories,published_date_in_days,updated_time_in_days,latest_chapter_number
Quân Sự,Châu Môn Phương Phi,Lười Biếng Tiểu Thú,7.6,1000,Đang ra,"Lịch Sử, Truyện Nữ Cường, Trọng Sinh, Ngôn Tình, Quân Sự",1,1,9
Quân Sự,70 Đào Rỗng Của Cải Xuống Nông Thôn Ta Gả Cho Quan Quân Mặt Lạnh,Anh Đào Tiểu Nguyệt Tử,7.7,1000,Đang ra,"Truyện Nữ Cường, Hài Hước, Điền Văn, Trọng Sinh, Ngôn Tình, Quân Sự, Truyện Khác, Truyện Sủng, Truyện Gia Đấu, Đông Phương, Huyền huyễn",14,14,5
Quân Sự,Cuộc Sống Nhàn Hạ Sau Khi Mất Chồng,Cốt sinh mê,7.1,1581,Đang ra,"Lịch Sử, Truyện Nữ Cường, Cổ Đại, Hài Hước, Điền Văn, Trọng Sinh, Ngôn Tình, Quân Sự, Quan Trường, Truyện Khác, Khoa Huyễn, Xuyên Không, Truyện Sủng, Truyện Cung Đấu, Truyện Gia Đấu, Huyền huyễn",150,150,5
Quân Sự,Sau Khi Xuyên Qua Bị Bắt Làm Hoàng Đế,Ngã Ái Cật Sơn Trúc,7.6,1220,Đang ra,"Lịch Sử, Cổ Đại, Hài Hước, Điền Văn, Đô Thị, Trọng Sinh, Ngôn Tình, Quân Sự, Quan Trường, Truyện Khác, Xuyên Không, Truyện Sủng, Truyện Cung Đấu, Truyện Gia Đấu",180,180,5
Quân Sự,Sau Khi Hồi Phục Linh Lực Tôi Mở Học Viện Tu Tiên,Nhị Mao Tiền,7.6,1000,Đang ra,"Dị Năng, Truyện Nữ Cường, Đô Thị, Ngôn Tình, Quân Sự, Dị Giới, Truyện Khác, Tiên Hiệp, Xuyên Không, Huyền huyễn",7,7,5
Quân Sự,Thập Niên 70 Lại Kết Hôn Thêm Lần Nữa,Tinh Nguyệt Tương Tuỳ,7.1,1333,Đang ra,"Truyện Nữ Cường, Hài Hước, Điền Văn, Đô Thị, Trọng Sinh, Ngôn Tình, Quân Sự, Truyện Khác, Khoa Huyễn, Xuyên Không, Truyện Sủng, Truyện Gia Đấu",210,210,5
Quân Sự,Không Thể Rời Mắt Khỏi Em Cant Take My Eyes,Qing Feng Mo Wan,7.2,1000,Đang ra,"Truyện Nữ Cường, Trọng Sinh, Quân Sự",7,7,6
Quân Sự,Quân Hôn 70 Nữ Phụ Pháo Hôi Nuôi Con Trên Đảo,Li Lạc Thâm Thâm,7.8,1237,Đang ra,"Truyện Nữ Cường, Hài Hước, Điền Văn, Đô Thị, Ngôn Tình, Quân Sự, Nữ Phụ, Truyện Khác, Xuyên Không, Truyện Sủng, Truyện Gia Đấu, Đông Phương",150,150,7
Quân Sự,Thập Niên 70 Tùy Quân Dưỡng Oa Quân Tẩu Nghịch Tập Đòi Lại Danh Phận,Cửu Hi,7.6,1000,Đang ra,"Truyện Nữ Cường, Điền Văn, Đô Thị, Trọng Sinh, Ngôn Tình, Quân Sự, Truyện Khác, Truyện Gia Đấu, Đông Phương, Huyền huyễn",14,14,13
Quân Sự,Cô Giáo Chủ Nhiệm,SonSam,7.4,2787,Đang ra,"Lịch Sử, Đô Thị, Trọng Sinh, Truyện Teen, Ngôn Tình, Quân Sự, Quan Trường, Đam Mỹ, Truyện Khác, Khoa Huyễn, Tiên Hiệp, Xuyên Không, Kiếm Hiệp, Thám Hiểm, Huyền huyễn",210,210,73
Tiên Hiệp,Chuyến Tàu Tử Thần,Nhị Điềm,7.1,1000,Đang ra,"Truyện Nữ Cường, Đô Thị, Linh Dị, Ngôn Tình, Truyện Khác, Mạt Thế, Thám Hiểm, Huyền huyễn",0.25,0.20833333333333331,11
Tiên Hiệp,Chinh Phục Giới Giải Trí Bằng Thuật Thôi Miên FULL,Sa Ngư Ngã Vựng Liễu,7.3,1000,Full,"Đam Mỹ, Truyện Khác",1,1,24
Quân Sự,Another Ending,Black Diamond,7.8,2799,Đang ra,"Đô Thị, Quân Sự, Đam Mỹ, Truyện Khác",365,365,25
Quân Sự,Đông A Quân,Bùi Nhật,7.5,2260,Đang ra,"Lịch Sử, Dị Năng, Truyện Nữ Cường, Truyện Ngược, Hài Hước, Quân Sự, Việt Nam, Truyện Khác, Kiếm Hiệp, Bách Hợp",365,365,8
Tiên Hiệp,Đừng Hòng Có Ý Nghĩ Không An Phận Với Tôi FULL,Trảo Cá Ngư Đường,7.1,1000,Full,"Truyện Ngược, Đam Mỹ, Truyện Sủng",1,1,88
Quân Sự,Cứu Vớt Bạo Quân Tàn Tật,Thôn Ngư,7.4,8672,Đang ra,"Cổ Đại, Hài Hước, Trọng Sinh, Ngôn Tình, Quân Sự, Nữ Phụ, Truyện Khác, Xuyên Không, Truyện Sủng, Truyện Cung Đấu, Huyền huyễn",730,365,50
Quân Sự,Hóa Đơn Tam Khúc,Chilll,7.0,1265,Đang ra,"Lịch Sử, Trinh Thám, Đô Thị, Trọng Sinh, Truyện Teen, Ngôn Tình, Quân Sự, Quan Trường, Truyện Khác, Tiên Hiệp, Xuyên Không, Kiếm Hiệp, Thám Hiểm, Huyền huyễn",210,210,6
Tiên Hiệp,Phu Quân Mới Thật Vô Sỉ FULL,Cưu Sâm,7.1,1000,Full,"Cổ Đại, Hài Hước, Ngôn Tình, Truyện Sủng",4,4,10
Tiên Hiệp,Bố Đi Bộ,Eungsi,7.3,1000,Đang ra,Mạt Thế,4,4,9
Tiên Hiệp,Thái Tử Gia Giả Nghèo Để Yêu Tôi FULL,Liêu Ninh,7.2,1000,Full,"Truyện Ngược, Đô Thị, Ngôn Tình",4,4,16
Tiên Hiệp,Cá Mặn Pháo Hôi Nhỏ Bị Thế Tử Gia Để Mắt Đến,Phạm Khuyết,7.0,1000,Đang ra,"Truyện Ngược, Hài Hước, Điền Văn, Ngôn Tình, Truyện Khác, Xuyên Không, Truyện Sủng, Huyền huyễn",4,4,50
Tiên Hiệp,Sương Sớm Che Mờ Mắt Người,384,7.0,1000,Đang ra,"Truyện Ngược, Đam Mỹ",4,4,28
Quân Sự,Võ Đạo Đại Tông Sư,Hoa Tiến Tửu,7.1,8433,Đang ra,"Trọng Sinh, Quân Sự, Dị Giới, Truyện Khác, Kiếm Hiệp, Huyền huyễn",365,365,99
Quân Sự,Trịnh Nguyễn Tranh Hùng, KeoChuoi,7.5,22434,Đang ra,"Lịch Sử, Cổ Đại, Quân Sự, Xuyên Không",1095,365,220
Tiên Hiệp,Vạn Quân Tâm FULL,Lương Thượng Yến,7.9,1000,Full,"Truyện Nữ Cường, Cổ Đại, Ngôn Tình",4,4,17
Tiên Hiệp,Điền Văn Thảm Họa Giáng Xuống Tôi Nhặt Ve Chai Trong Phó Bản,Nguyệt Quang Hạ Khán Mỹ Nhân,7.9,1000,Đang ra,"Truyện Nữ Cường, Điền Văn, Đô Thị, Trọng Sinh, Khoa Huyễn, Mạt Thế, Huyền huyễn",5,5,5
Tiên Hiệp,Đoàn Sủng Ma Giới,Mai Nhược Phồn,7.8,1000,Đang ra,"Cổ Đại, Ngôn Tình, Nữ Phụ, Truyện Khác, Tiên Hiệp, Truyện Sủng, Huyền huyễn",5,5,6
Tiên Hiệp,Đại Sư Huyền Học Bán Quỷ Làm Giàu,Đằng Tiêu Bất Hảo Cật,7.7,1000,Đang ra,"Truyện Nữ Cường, Hài Hước, Đô Thị, Linh Dị, Ngôn Tình, Truyện Khác, Truyện Sủng, Huyền huyễn",5,5,50
Tiên Hiệp,Hoàng Thư,Nguyễn Ngọc,7.9,1000,Đang ra,"Đô Thị, Truyện Khác",5,5,5
Tiên Hiệp,Mở Siêu Thị Ở Tận Thếcùng Đếm Tiền,Vô Ý Hoa Lạc,7.2,1000,Đang ra,"Xuyên Không, Mạt Thế, Huyền huyễn",5,5,10
Tiên Hiệp,Xuyên Thành Niên Đại Văn Nữ Chủ Kiều Khí Kế Muội,Thập Nhị Nguyệt Bất Lãnh,7.2,1000,Đang ra,"Truyện Nữ Cường, Điền Văn, Đô Thị, Trọng Sinh, Ngôn Tình, Truyện Khác, Xuyên Không, Truyện Sủng",5,5,50
Tiên Hiệp,Mãn Cấp Đại Lão Kỳ Ảo Dị Thế Trò Chơi,Lệ Tiêu,7.6,1000,Đang ra,"Truyện Nữ Cường, Đô Thị, Trọng Sinh, Ngôn Tình, Truyện Khác, Huyền huyễn",5,5,2
Tiên Hiệp,Xuyên Sách Thập Niên 90 Gả Cho Lưu Manh,Tinh Dạ Vị Thành Miên,7.3,1000,Đang ra,"Đô Thị, Ngôn Tình, Nữ Phụ, Truyện Khác, Truyện Sủng",5,5,5
Tiên Hiệp,Tận Thế Đến Ôm Chặt Đùi Của Đại Lão,Miêu Thư,7.0,1000,Đang ra,"Dị Năng, Đô Thị, Trọng Sinh, Ngôn Tình, Truyện Khác, Khoa Huyễn, Mạt Thế, Huyền huyễn",5,5,5
Tiên Hiệp,Sau Khi Kết Hôn Tôi Dựa Vào Làm Nũng Để Bắt Chẹt Giáo Quan Cấm Dục,Thiệu Hoa Thập Thất,7.8,1000,Đang ra,"Hài Hước, Đô Thị, Ngôn Tình, Truyện Khác, Truyện Sủng",5,5,50
Tiên Hiệp,Tiêu Diệt Nữ Phụ Trà Xanh Ở Mạt Thế Thịt Văn,Đạo Đức Tinh,7.5,1000,Đang ra,"Dị Năng, Đô Thị, Trọng Sinh, Ngôn Tình, Truyện Khác, Truyện Sủng, Mạt Thế",5,5,5
Tiên Hiệp,Chỉ Muốn He Với Ma Đầu Diệt Thế,Thôn Ngư,7.5,1000,Đang ra,"Trọng Sinh, Ngôn Tình, Tiên Hiệp",5,5,50
Tiên Hiệp,Muội Muội Đừng Trốn Để Ca Ca Thương Yêu Nàng!,Dạ Nguyệt Phong Hi,7.5,1000,Đang ra,"Cổ Đại, Hài Hước, Ngôn Tình, Truyện Khác, Truyện Sủng",5,5,10
Tiên Hiệp,Cháu Tới Để Thừa Kế Gia Sản Của Chú Đó FULL,Sơn Hữu Thanh Mộc,7.1,1000,Full,"Ngôn Tình, Xuyên Không",4,4,89
Tiên Hiệp,Đèn Lạnh Trên Giấy Hoa Lê Lạnh Trong Mưa FULL,Hành Chi,7.5,1000,Full,"Cổ Đại, Điền Văn, Ngôn Tình",4,4,45
